Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
European Union,71.51997365,71.7569992,71.94461619,72.08885097,72.23088731,72.40023517,72.56149207,72.6886303,72.82139882,72.94684696,73.10923312,73.21620961,73.35266562,73.53767766,73.69831652,73.87437427,74.08907728,74.19407991,74.3251512,74.45964915,74.54998022,74.64693535,74.76596039,74.89435027,75.03001,
Fragile and conflict affected situations,38.77607698,39.05895078,39.32246926,39.59000646,39.8696489,40.14143118,40.39743676,40.6084866,40.92860638,41.2204354,41.52024139,41.86925575,42.33289265,42.85042769,43.22054426,43.52104849,43.81280759,44.10561094,44.39068252,44.65347247,44.93462921,45.24308179,45.52641383,45.77810848,46.1538253,
Finland,67.12276853,67.49823928,67.79516416,68.04255491,68.27665968,68.51405295,68.75882798,69.02003773,69.29436722,69.54625997,69.78557988,70.05832619,70.36613632,70.67421182,70.98791689,71.305493,71.61583834,71.95630383,72.34234677,72.74312144,73.08494398,73.37102158,73.69675978,74.00625486,74.26371905,
Fiji,48.06498809,48.42879146,48.77951391,49.12604949,49.47729222,49.84213613,50.22947527,50.64945698,51.09797526,51.56280132,52.04151478,52.53354495,53.03832113,53.55527263,54.08382875,54.62341881,55.1734721,55.74083434,56.23283474,56.70989552,57.18668469,57.66183648,58.13527015,58.60690497,59.07666023,
France,76.51439831,76.90744136,77.25438666,77.4691216,77.49005,77.43633151,77.34672401,77.24579766,77.15619016,77.10053918,77.09628448,77.11827174,77.16694649,77.24407215,77.35242968,77.76109192,78.59991147,78.6467804,78.67144325,78.68907845,78.71191318,78.73646034,78.75919211,78.78043231,78.7999751,
Faroe Islands,35.69867706,35.93421555,35.93654251,36.1276474,36.31798553,36.33205795,36.4584198,36.29298782,36.46792221,36.8888092,37.25369263,37.29759598,37.32449722,37.74148178,37.9093895,38.14315033,38.32002258,38.33246994,38.40588379,38.39456558,38.66899872,38.80837631,38.99598245,39.19752701,39.41323259,
"Micronesia, Fed. Sts.",22.32999992,22.32999992,22.32999992,22.32999992,22.32999992,22.32999992,22.32751404,22.32083245,22.31111925,22.2995385,22.29035299,22.29146641,22.29425688,22.2986324,22.30461931,22.31223361,22.32148961,22.33240119,22.34498204,22.35924578,22.375206,22.39287629,22.41227018,22.43340125,22.45628302,
Gabon,79.56604047,80.40909934,81.22052419,81.99708301,82.73554382,83.43267464,84.08524347,84.69001834,85.24376725,85.74325821,86.18525925,86.56653837,86.88386358,87.14824807,87.6236018,88.08530838,88.54458834,89.00097333,89.453995,89.90318502,90.34807504,90.78819673,91.22433555,91.63759628,91.86320947,
United Kingdom,79.82414083,79.98383013,80.11460627,80.23315933,80.34232849,80.44559381,80.54643536,80.6483332,80.75476739,80.86921801,80.99516512,81.13596856,81.29056678,81.45737687,81.63557508,81.82437723,82.02299917,82.23065673,82.44656576,82.66994207,82.90000153,82.98864315,83.0753983,83.16019329,83.24295444,
Georgia,52.49359996,52.4098165,52.4127676,52.51447057,52.71731993,53.00362806,53.35939165,53.77060739,54.22327198,54.70338211,55.19693447,55.68992576,56.16835268,56.6182119,57.0237613,57.38038005,57.6984032,57.99968272,58.30381819,58.63040918,58.99905528,59.42935606,60.01016227,60.75230778,61.07896051,
