country,year,Urban_pct
New Zealand,2010,85.86140433
Poland,2010,60.8474784
Portugal,2010,61.07888672
Romania,2010,53.90382279
Russia,2010,73.66963079
Slovakia,2010,54.56507407
Slovenia,2010,50.11948628
Sweden,2010,85.13342285
Seychelles,2010,42.66030724
Thailand,2010,44.00187366
Turkiye,2010,69.34712539
USA,2010,80.69977447
Uzbekistan,2010,51.33216476
Viet Nam,2010,30.25040273
South Africa,2010,62.62991206
Australia,2011,86.32689461
Austria,2011,67.14842554
Belgium,2011,85.2349607
Bulgaria,2011,72.61016539
Brazil,2011,84.62257586
Canada,2011,81.10314254
Switzerland,2011,73.65058749
Chile,2011,87.01091647
China,2011,51.83002853
Colombia,2011,76.83900361
Costa Rica,2011,72.84265867
Cyprus,2011,67.39798928
Czech Republic,2011,73.28783384
Germany,2011,80.34057629
Denmark,2011,87.1567654
Spain,2011,78.69539796
Estonia,2011,67.87755563
Finland,2011,70.05832619
France,2011,77.11827174
United Kingdom,2011,81.13596856
Greece,2011,76.63526099
Croatia,2011,55.27737933
Hungary,2011,69.47799341
Indonesia,2011,50.48300171
India,2011,31.27465029
Ireland,2011,62.08727358
Iceland,2011,93.41106112
Israel,2011,91.73040247
Italy,2011,68.40150739
Jordan,2011,83.55050438
Japan,2011,90.86316544
Korea,2011,81.96154081
Lithuania,2011,66.75183401
Luxembourg,2011,88.95628148
Latvia,2011,67.8266897
Mexico,2011,76.56678023
Malaysia,2011,71.42451667
Netherlands,2011,88.0059205
Norway,2011,79.31162045
New Zealand,2011,85.82331519
Poland,2011,60.73570907
Portugal,2011,61.14106984
Romania,2011,53.96088742
Russia,2011,73.85348511
Slovakia,2011,54.4167388
Slovenia,2011,49.94638187
Sweden,2011,85.36007489
Seychelles,2011,42.67398449
Thailand,2011,44.80487236
Turkiye,2011,71.00287235
USA,2011,80.69575543
Uzbekistan,2011,51.33955002
Viet Nam,2011,30.69960417
South Africa,2011,62.85062775
Australia,2012,86.44512591
Austria,2012,67.20859098
Belgium,2012,85.49154038
Bulgaria,2012,72.76848602
Brazil,2012,84.89738742
Canada,2012,81.15134832
Switzerland,2012,73.75226296
Chile,2012,87.08249437
China,2012,53.10031128
Colombia,2012,76.9422112
Costa Rica,2012,73.38950207
Cyprus,2012,67.30102891
Czech Republic,2012,73.22492396
Germany,2012,80.39344752
Denmark,2012,87.23361969
