Entity,Year,Greenhouse gas emissions per capita
Norway,2015,12.032476
Norway,2016,11.799832
Norway,2017,11.692727
Norway,2018,11.684794
Norway,2019,11.311686
Norway,2020,10.946127
Norway,2021,11.027292
Norway,2022,10.939784
Norway,2023,10.488692
Norway,2024,10.075698
Poland,2000,10.758642
Poland,2001,10.365953
Poland,2002,9.958412
Poland,2003,10.389685
Poland,2004,10.284661
Poland,2005,10.466003
Poland,2006,10.564812
Poland,2007,10.783574
Poland,2008,10.491629
Poland,2009,9.596262
Poland,2010,10.541173
Poland,2011,10.223787
Poland,2012,10.011809
Poland,2013,9.95442
Poland,2014,9.488514
Poland,2015,9.531838
Poland,2016,9.899838
Poland,2017,10.272359
Poland,2018,10.486242
Poland,2019,10.159065
Poland,2020,9.521753
Poland,2021,10.351931
Poland,2022,9.798449
Poland,2023,8.837036
Poland,2024,8.623619
Portugal,2000,7.993119
Portugal,2001,7.9159193
Portugal,2002,7.9542747
Portugal,2003,7.5334496
Portugal,2004,7.249611
Portugal,2005,7.5551634
Portugal,2006,7.020241
Portugal,2007,7.3355336
Portugal,2008,6.810958
Portugal,2009,6.3176966
Portugal,2010,5.968899
Portugal,2011,5.950943
Portugal,2012,5.988246
Portugal,2013,5.6805134
Portugal,2014,5.6424356
Portugal,2015,6.058502
Portugal,2016,6.102547
Portugal,2017,6.7446084
Portugal,2018,7.0738177
Portugal,2019,6.300556
Portugal,2020,5.5728154
Portugal,2021,5.391431
Portugal,2022,5.5799294
Portugal,2023,5.362008
Portugal,2024,5.1978517
Romania,2000,5.5053315
Romania,2001,5.809407
Romania,2002,5.9453697
Romania,2003,5.904559
Romania,2004,6.220122
Romania,2005,5.9949455
Romania,2006,5.9599304
Romania,2007,6.32675
Romania,2008,6.398731
Romania,2009,6.3594027
Romania,2010,5.749893
Romania,2011,5.8371797
Romania,2012,5.854897
Romania,2013,5.3013573
Romania,2014,5.381046
Romania,2015,5.1532607
Romania,2016,5.1281643
Romania,2017,5.5804477
Romania,2018,6.4137454
Romania,2019,5.4853835
Romania,2020,5.4203525
Romania,2021,5.3775773
Romania,2022,5.053597
Romania,2023,4.7527685
Romania,2024,4.747173
Russia,2000,13.201384
Russia,2001,13.468924
Russia,2002,13.214793
Russia,2003,13.801588
Russia,2004,13.641435
Russia,2005,14.166554
Russia,2006,14.76748
Russia,2007,15.267593
Russia,2008,15.089112
Russia,2009,15.635871
Russia,2010,17.133654
Russia,2011,15.825308
Russia,2012,17.563593
Russia,2013,16.401213
Russia,2014,15.64913
Russia,2015,17.458067
Russia,2016,17.462675
Russia,2017,17.515038
Russia,2018,17.286173
Russia,2019,17.206259
Russia,2020,16.264328
Russia,2021,17.061714
Russia,2022,17.865038
Russia,2023,18.378408
Russia,2024,18.845648
Seychelles,2000,4.660248
Seychelles,2001,4.846217
Seychelles,2002,4.8543706
Seychelles,2003,4.712053
Seychelles,2004,5.137033
Seychelles,2005,5.103831
Seychelles,2006,5.116776
Seychelles,2007,5.2317147
Seychelles,2008,5.3058486
Seychelles,2009,5.5837383
Seychelles,2010,5.4499874
Seychelles,2011,4.953813
Seychelles,2012,5.0052915
Seychelles,2013,4.836603
Seychelles,2014,5.182127
Seychelles,2015,5.4587073
Seychelles,2016,5.891673
Seychelles,2017,5.97216
Seychelles,2018,6.003113
Seychelles,2019,5.839177
Seychelles,2020,5.8021317
Seychelles,2021,5.814433
Seychelles,2022,5.854606
Seychelles,2023,5.8578963
Seychelles,2024,5.856652
Slovakia,2000,9.865683
Slovakia,2001,10.322509
Slovakia,2002,10.181752
Slovakia,2003,10.094265
Slovakia,2004,10.513503
Slovakia,2005,10.797442
Slovakia,2006,11.1194315
Slovakia,2007,11.174377
Slovakia,2008,11.498968
Slovakia,2009,11.046034
Slovakia,2010,11.612928
Slovakia,2011,11.871488
Slovakia,2012,11.653419
Slovakia,2013,12.070249
Slovakia,2014,12.345165
Slovakia,2015,13.576614
Slovakia,2016,11.989122
Slovakia,2017,10.581483
Slovakia,2018,9.216518
Slovakia,2019,7.7159963
Slovakia,2020,6.386628
Slovakia,2021,6.470325
Slovakia,2022,5.0755115
Slovakia,2023,4.3753815
Slovakia,2024,3.5832222
Slovenia,2000,9.939225
Slovenia,2001,10.792636
Slovenia,2002,10.906852
Slovenia,2003,11.034613
Slovenia,2004,10.98416
Slovenia,2005,11.094281
Slovenia,2006,11.190314
Slovenia,2007,14.158545
Slovenia,2008,12.614888
Slovenia,2009,11.809506
Slovenia,2010,12.12812
Slovenia,2011,12.13826
Slovenia,2012,12.135288
Slovenia,2013,11.579259
Slovenia,2014,10.491846
Slovenia,2015,10.69576
Slovenia,2016,11.139798
Slovenia,2017,11.253108
Slovenia,2018,10.653118
Slovenia,2019,10.461634
Slovenia,2020,9.393123
Slovenia,2021,9.310917
Slovenia,2022,8.888523
Slovenia,2023,8.378464
Slovenia,2024,8.547228
South Africa,2000,10.753548
South Africa,2001,10.4600725
South Africa,2002,9.940207
South Africa,2003,10.765047
South Africa,2004,11.556597
South Africa,2005,10.695489
South Africa,2006,11.243411
South Africa,2007,11.641436
South Africa,2008,12.00112
South Africa,2009,11.350956
South Africa,2010,10.973834
South Africa,2011,10.952458
South Africa,2012,10.631916
South Africa,2013,10.337776
South Africa,2014,10.625931
South Africa,2015,9.951787
South Africa,2016,9.811252
South Africa,2017,9.492857
South Africa,2018,9.561661
South Africa,2019,9.693312
South Africa,2020,8.938566
South Africa,2021,8.872801
South Africa,2022,8.549892
South Africa,2023,8.564516
South Africa,2024,8.479182
Korea,2000,10.2669935
Korea,2001,10.514741
Korea,2002,10.774789
Korea,2003,10.920726
Korea,2004,11.034721
Korea,2005,11.155869
Korea,2006,11.203563
Korea,2007,11.547745
Korea,2008,11.6683855
Korea,2009,11.752644
Korea,2010,12.869081
Korea,2011,13.46409
Korea,2012,13.346605
Korea,2013,13.33527
Korea,2014,13.163002
Korea,2015,13.1659775
Korea,2016,13.139617
Korea,2017,13.432948
Korea,2018,13.730572
Korea,2019,13.194754
Korea,2020,12.276657
Korea,2021,12.679795
Korea,2022,12.583066
Korea,2023,12.230706
Korea,2024,12.192497
Spain,2000,8.812179
Spain,2001,8.901756
Spain,2002,9.41053
Spain,2003,9.432324
Spain,2004,9.529971
Spain,2005,9.600847
Spain,2006,9.186189
Spain,2007,9.249037
Spain,2008,8.349946
Spain,2009,7.483469
Spain,2010,7.0639944
Spain,2011,7.532238
Spain,2012,6.9483566
Spain,2013,6.465498
Spain,2014,6.5134735
Spain,2015,6.845182
Spain,2016,6.6345615
Spain,2017,6.83814
Spain,2018,6.810658
Spain,2019,6.3181233
Spain,2020,5.523452
Spain,2021,6.1565533
Spain,2022,6.086297
Spain,2023,5.6440225
Spain,2024,5.7417855
Sweden,2000,7.87887
Sweden,2001,8.090505
Sweden,2002,8.152996
Sweden,2003,8.412477
Sweden,2004,8.755857
Sweden,2005,8.497
Sweden,2006,8.252128
Sweden,2007,8.116062
Sweden,2008,7.846867
Sweden,2009,7.38936
Sweden,2010,8.036456
Sweden,2011,7.316459
Sweden,2012,7.0849986
Sweden,2013,6.7113495
Sweden,2014,6.417304
Sweden,2015,6.409536
Sweden,2016,6.3912687
Sweden,2017,6.3266454
Sweden,2018,6.1082354
Sweden,2019,6.000227
Sweden,2020,5.4481683
Sweden,2021,5.7444434
Sweden,2022,5.459921
Sweden,2023,5.4462304
Sweden,2024,5.3694525
Switzerland,2000,7.3835354
Switzerland,2001,7.5580053
Switzerland,2002,7.1996136
Switzerland,2003,7.2867494
